,localidade,rede,ideb_2015,ideb_2017,ideb_2019,ideb_2021,ideb_2023,meta_2015,meta_2017,meta_2019,meta_2021,anos,cod,6_ao_9_ano,1_ao_5_ano,ensino_médio
3430,Salesópolis,Pública,5.0,5.5,5.8,5.5,5.5,"5,6","5,8",6,"6,3",6º ao 9º ano,3545001.0,True,False,False
3433,Salmourão,Estadual,4.3,4.3,5.2,4.7,5.0,"5,3","5,6","5,8",6,6º ao 9º ano,3545100.0,True,False,False
3436,Salmourão,Pública,4.3,4.3,5.2,4.7,5.0,"5,3","5,6","5,8",6,6º ao 9º ano,3545100.0,True,False,False
3440,Saltinho,Municipal,6.9,6.9,7.1,7.1,7.0,"6,3","6,6","6,8",7,1º ao 5º ano,3545159.0,False,True,False
3441,Saltinho,Pública,6.9,6.9,7.1,7.1,7.0,"6,3","6,6","6,8",7,1º ao 5º ano,3545159.0,False,True,False
3446,Salto,Estadual,6.6,6.8,7.0,6.5,6.5,"6,2","6,5","6,7","6,9",1º ao 5º ano,3545209.0,False,True,False
3447,Salto,Estadual,4.9,5.3,5.4,5.4,5.4,"5,9","6,1","6,3","6,6",6º ao 9º ano,3545209.0,True,False,False
3449,Salto,Municipal,6.6,6.8,6.8,6.6,6.7,"6,4","6,6","6,9","7,1",1º ao 5º ano,3545209.0,False,True,False
3450,Salto,Pública,6.6,6.8,6.9,6.6,6.7,"6,3","6,5","6,7","6,9",1º ao 5º ano,3545209.0,False,True,False
3451,Salto,Pública,5.0,5.3,5.5,5.5,5.4,"5,9","6,1","6,3","6,6",6º ao 9º ano,3545209.0,True,False,False
3455,Salto de Pirapora,Estadual,4.8,5.2,5.4,5.1,5.2,"5,4","5,6","5,9","6,1",6º ao 9º ano,3545308.0,True,False,False
3456,Salto de Pirapora,Municipal,5.8,5.7,5.5,5.8,5.7,"5,9","6,1","6,3","6,5",6º ao 9º ano,3545308.0,True,False,False
3457,Salto de Pirapora,Municipal,6.3,6.7,6.6,6.1,6.1,"6,2","6,4","6,7","6,9",1º ao 5º ano,3545308.0,False,True,False
3458,Salto de Pirapora,Pública,6.3,6.8,6.6,6.1,6.1,"5,9","6,2","6,4","6,6",1º ao 5º ano,3545308.0,False,True,False
3459,Salto de Pirapora,Pública,5.0,5.3,5.5,5.3,5.3,"5,4","5,6","5,8","6,1",6º ao 9º ano,3545308.0,True,False,False
3462,Salto Grande,Estadual,4.5,5.3,5.2,5.5,4.9,"5,1","5,3","5,6","5,8",6º ao 9º ano,3545407.0,True,False,False
3463,Salto Grande,Municipal,6.0,7.3,6.7,6.3,6.3,"5,6","5,8","6,1","6,3",1º ao 5º ano,3545407.0,False,True,False
3464,Salto Grande,Pública,6.0,7.3,6.7,6.3,6.3,"5,6","5,8","6,1","6,3",1º ao 5º ano,3545407.0,False,True,False
3465,Salto Grande,Pública,4.5,5.3,5.2,5.5,4.9,"5,1","5,3","5,6","5,8",6º ao 9º ano,3545407.0,True,False,False
3468,Sandovalina,Municipal,4.9,4.9,4.7,4.9,4.9,"5,5","5,8",6,"6,2",6º ao 9º ano,3545506.0,True,False,False
3469,Sandovalina,Municipal,5.3,5.7,6.2,5.7,5.4,"5,2","5,5","5,7",6,1º ao 5º ano,3545506.0,False,True,False
3470,Sandovalina,Pública,5.3,5.7,6.2,5.7,5.4,"5,2","5,5","5,7",6,1º ao 5º ano,3545506.0,False,True,False
3471,Sandovalina,Pública,4.9,4.9,4.7,4.9,4.9,"5,5","5,8",6,"6,2",6º ao 9º ano,3545506.0,True,False,False
3475,Santa Adélia,Estadual,5.3,4.8,5.2,5.4,5.6,"4,6","4,9","5,1","5,4",6º ao 9º ano,3545605.0,True,False,False
3476,Santa Adélia,Municipal,5.2,4.8,5.8,5.9,5.8,"5,4","5,6","5,9","6,1",6º ao 9º ano,3545605.0,True,False,False
3477,Santa Adélia,Municipal,6.4,6.8,7.2,6.2,6.3,"6,1","6,4","6,6","6,8",1º ao 5º ano,3545605.0,False,True,False
3478,Santa Adélia,Pública,6.4,6.8,7.2,6.2,6.3,"6,2","6,5","6,7","6,9",1º ao 5º ano,3545605.0,False,True,False
3479,Santa Adélia,Pública,5.2,4.8,5.5,5.7,5.8,"4,5","4,8","5,1","5,3",6º ao 9º ano,3545605.0,True,False,False
3483,Santa Albertina,Estadual,5.2,4.8,5.6,5.4,5.3,"5,6","5,8","6,1","6,3",6º ao 9º ano,3545704.0,True,False,False
3484,Santa Albertina,Municipal,6.3,6.5,6.5,6.4,6.5,"6,4","6,6","6,8","7,1",1º ao 5º ano,3545704.0,False,True,False
3485,Santa Albertina,Pública,6.3,6.5,6.5,6.4,6.5,6,"6,2","6,5","6,7",1º ao 5º ano,3545704.0,False,True,False
3486,Santa Albertina,Pública,5.2,4.8,5.6,5.4,5.3,"5,6","5,8","6,1","6,3",6º ao 9º ano,3545704.0,True,False,False
3489,Santa Bárbara d'Oeste,Estadual,7.0,6.8,7.0,6.8,7.0,"6,6","6,8",7,"7,2",1º ao 5º ano,3545803.0,False,True,False
3490,Santa Bárbara d'Oeste,Estadual,5.2,5.3,5.6,5.7,5.5,"5,7","5,9","6,2","6,4",6º ao 9º ano,3545803.0,True,False,False
3491,Santa Bárbara d'Oeste,Municipal,6.9,7.1,7.0,6.4,6.6,"6,4","6,6","6,8",7,1º ao 5º ano,3545803.0,False,True,False
3492,Santa Bárbara d'Oeste,Pública,6.9,7.0,7.0,6.4,6.7,"6,5","6,7","6,9","7,1",1º ao 5º ano,3545803.0,False,True,False
