,NOME,FASE,TURMA,INSTITUICAO_ENSINO_ALUNO,SINALIZADOR_INGRESSANTE,PEDRA,INDE,IAA,IEG,IPS,IDA,IPP,REC_EQUIPE_1,REC_EQUIPE_2,REC_EQUIPE_3,REC_EQUIPE_4,PONTO_VIRADA,IPV,IAN,NIVEL_IDEAL,DEFASAGEM,ANO
998,ALUNO-999,3.0,G,Rede Decisão,Veterano,Ágata,6.858,7.9,6.1,4.4,6.4,6.9,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Não avaliado,Não,7.2,10.0,Nível 3 (7o e 8o ano),0.0,2021
1000,ALUNO-1001,0.0,K,Escola Pública,Ingressante,Topázio,8.931,9.5,10.0,7.5,6.9,8.4,Mantido na Fase + Bolsa,Mantido na Fase + Bolsa,Não avaliado,Não avaliado,Sim,10.0,10.0,ALFA  (2o e 3o ano),0.0,2021
1001,ALUNO-1002,3.0,J,Escola Pública,Veterano,Ametista,7.693,8.8,8.3,7.5,7.5,7.7,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Não,8.1,5.0,Nível 5 (1o EM),-2.0,2021
1003,ALUNO-1004,0.0,I,Escola Pública,Veterano,Ametista,7.506,10.0,10.0,6.9,6.4,7.8,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,6.3,5.0,Nível 2 (5o e 6o ano),-2.0,2021
1006,ALUNO-1007,2.0,P,Escola Pública,Veterano,Quartzo,3.752,0.0,1.7,7.5,0.8,7.2,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não avaliado,Não,6.5,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1008,ALUNO-1009,0.0,S,Escola Pública,Ingressante,Ametista,7.4,7.0,10.0,7.5,6.3,2.5,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não avaliado,Não,7.2,10.0,ALFA  (2o e 3o ano),0.0,2021
1009,ALUNO-1010,1.0,B,Escola Pública,Veterano,Ametista,7.449,8.0,10.0,7.5,5.2,7.5,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,Não avaliado,Não,8.1,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1012,ALUNO-1013,2.0,M,Escola Pública,Ingressante,Ametista,7.292,9.0,7.9,7.5,6.1,8.1,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,7.7,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1013,ALUNO-1014,1.0,N,Escola Pública,Veterano,Ametista,7.636,9.0,8.3,7.5,6.3,8.1,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,8.7,5.0,Nível 2 (5o e 6o ano),-1.0,2021
1014,ALUNO-1015,3.0,J,Rede Decisão,Veterano,Topázio,8.475,9.6,8.9,7.5,6.9,7.9,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Sim,9.1,10.0,Nível 3 (7o e 8o ano),0.0,2021
1015,ALUNO-1016,2.0,H,Escola Pública,Veterano,Quartzo,4.946,9.0,0.8,7.5,1.1,7.5,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,8.3,5.0,Nível 3 (7o e 8o ano),-1.0,2021
1016,ALUNO-1017,3.0,J,Rede Decisão,Veterano,Ametista,7.844,8.8,7.2,7.5,5.8,7.9,Promovido de Fase,Promovido de Fase + Bolsa,Promovido de Fase,Não avaliado,Sim,9.2,10.0,Nível 2 (5o e 6o ano),1.0,2021
1021,ALUNO-1022,1.0,F,Escola Pública,Veterano,Ametista,7.219,9.0,9.2,7.5,1.9,7.7,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,7.9,10.0,Nível 1 (4o ano),0.0,2021
